2023/2/7	,	5.7049	,	1798.2583,21.2494
2023/2/8	,	5.6548	,	1787.3686,21.3762
2023/2/9	,	5.6481	,	1815.373,21.3789
2023/2/10	,	5.6856	,	1809.2566,21.1842
2023/2/13	,	5.7001	,	1850.3258,21.1087
2023/2/14	,	5.6572	,	1840.8534,21.1333
2023/2/15	,	5.6363	,	1843.7799,21.0566
2023/2/16	,	5.613	,	1863.9609,21.0468
2023/2/17	,	5.5779	,	1845.6152,20.885
2023/2/20	,	5.579	,	1850.0311,21.0007
2023/2/21	,	5.619	,	1862.1529,21.2525
2023/2/22	,	5.6192	,	1843.2423,21.2081
2023/2/23	,	5.6115	,	1820.7562,21.1065
2023/2/24	,	5.586	,	1792.4463,21.0446
2023/2/27	,	5.5659	,	1802.9225,20.9824
2023/2/28	,	5.5807	,	1801.4827,21.0743
2023/3/1	,	5.6462	,	1829.9018,21.2996
2023/3/2	,	5.655	,	1829.9281,21.1635
2023/3/3	,	5.6958	,	1819.2565,21.3063
2023/3/6	,	5.6882	,	1806.6961,21.2819
2023/3/7	,	5.6734	,	1799.9703,21.259
2023/3/8	,	5.6051	,	1772.9047,20.9584
2023/3/9	,	5.5875	,	1767.902,20.8407
2023/3/10	,	5.5595	,	1760.3945,20.7778
2023/3/13	,	5.5664	,	1763.8134,20.8504
2023/3/14	,	5.571	,	1762.2034,21.0794
2023/3/15	,	5.5666	,	1765.878,21.0113
2023/3/16	,	5.5189	,	1754.9297,21.2147
2023/3/17	,	5.5128	,	1755.6397,21.3576
2023/3/20	,	5.4886	,	1736.3155,21.0998
2023/3/21	,	5.4704	,	1763.2406,20.9729
2023/3/22	,	5.4875	,	1779.2579,21.0285
2023/3/23	,	5.5381	,	1776.2629,20.8848
2023/3/24	,	5.5244	,	1777.3346,20.8187
